route,title,kind,breadcrumb,h1,words,minutes,short_words,short_minutes,short_over_budget,sections,words_before_first_section,table_rows,details_blocks
/which-grades-students-leave,Which grades students leave in,page,Home > How the money moves > Reports and analyses > Which grades students leave in,Grade 8 is where Lunenburg loses students,8141,35.4,976,4.2,,14,1205,116,1
/analysis/sped-and-the-curve,Special education and the curve,page,Home > How the money moves > Reports and analyses > An analysis,Special education and the curve,7912,34.4,199,0.9,,15,171,175,1
/why-we-only-get-minimum-aid,"Chapter 70 — the formula, and why it pays the floor",page,"Home > How the money moves > Chapter 70 — the formula, and why it pays the floor",Why we only get minimum aid,7846,34.1,823,3.6,,13,147,125,1
/analysis/questions,A hundred questions this archive can answer,page,Home > How the money moves > Reports and analyses > An analysis,A hundred questions this archive can answer,7439,32.3,,,,12,305,0,0
/analysis/budget-vs-actual,Budget versus actual,page,Home > How the money moves > Reports and analyses > An analysis,Budget versus actual,7316,31.8,,,,14,298,98,0
/meeting-minutes/finance-committee/2026-02-19-zdeK5iigzNY,"Finance Committee, February 19, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, February 19, 2026",7210,31.3,,,,9,407,3,2
/what-the-state-requires-us-to-spend,What the state requires us to spend — and where that puts us,page,Home > How the money moves > Reports and analyses > What the state requires us to spend — and where that puts us,What the state requires us to spend,6528,28.4,791,3.4,,12,204,109,1
/lunenburg-by-the-numbers,Lunenburg by the numbers — who lives here,page,Home > How the money moves > Reports and analyses > Lunenburg by the numbers — who lives here,Lunenburg by the numbers,6391,27.8,660,2.9,,11,214,52,1
/free-cash,Free cash — how much is actually spendable,page,Home > Go deeper > Find the money > Free cash — how much is actually spendable,"Free cash — where it comes from, and how much is actually spendable",6376,27.7,450,2.0,,17,115,86,1
/when-grants-end,When a grant ends — who picks up the bill,page,Home > How the money moves > When a grant ends — who picks up the bill,In FY2025 grants fell in 16 parts of the school budget. The town’s money rose in 8 of them.,6357,27.6,806,3.5,,11,272,89,1
/money-outside-the-budget,The money outside the budget,page,Home > How the money moves > The money outside the budget,There is $10.03M outside the budget Town Meeting votes.,6287,27.3,531,2.3,,10,178,281,5
/meeting-minutes/finance-committee/2026-03-12-bwTkjEJBMFc,"Finance Committee, March 12, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, March 12, 2026",6156,26.8,,,,10,508,3,2
/meeting-minutes/town-meeting/2026-05-02-F0viGd2yFSU,"Town Meeting, May 2, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, May 2, 2026",6064,26.4,,,,9,575,17,0
/analysis/athletics-ledger,The athletics ledger: what a fund's cashbook shows that a budget line cannot,page,Home > How the money moves > Reports and analyses > An analysis,The athletics ledger: what a fund's cashbook shows that a budget line cannot,6047,26.3,,,,14,382,37,0
/meeting-minutes/town-meeting/2024-05-04-1E6ws5rr8E4,"Town Meeting, May 4, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, May 4, 2024",5946,25.9,,,,9,564,11,0
/meeting-minutes/town-meeting/2025-05-03-gOYiR_qV8yk,"Town Meeting, May 3, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, May 3, 2025",5898,25.6,,,,9,552,13,0
/meeting-minutes/finance-committee/2026-02-26-A4dDCncf5cQ,"Finance Committee, February 26, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, February 26, 2026",5891,25.6,,,,10,498,3,2
/analysis/per-pupil-spending,"What Lunenburg spends for each pupil, and what that number hides",page,Home > How the money moves > Reports and analyses > An analysis,"What Lunenburg spends for each pupil, and what that number hides",5889,25.6,1104,4.8,,13,148,65,1
/analysis/fy26-closeout-town,"FY26 on the town side, as the books stood in June",page,Home > How the money moves > Reports and analyses > An analysis,"FY26 on the town side, as the books stood in June",5746,25.0,,,,15,259,64,0
/meeting-minutes/school-committee/2025-08-26-fhwV4LdIfcw,"School Committee, August 26, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, August 26, 2025",5731,24.9,,,,10,527,2,2
/meeting-minutes/town-meeting/2025-11-18-yQkLNWEM-iQ,"Town Meeting, November 18, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, November 18, 2025",5727,24.9,,,,9,554,6,0
/meeting-minutes/town-meeting/2022-05-07-smx_Uh68j6I,"Town Meeting, May 7, 2022",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, May 7, 2022",5688,24.7,,,,9,598,12,0
/budget-vs-actual,Budgets against what was later reported,page,Home > How the money moves > Budgets against what was later reported,The budget lands. The lines inside it do not.,5667,24.6,978,4.3,,12,677,64,1
/how-chapter-70-works,"How Chapter 70 actually works, in eight steps",page,"Home > How the money moves > Chapter 70 — the formula, and why it pays the floor > How Chapter 70 actually works, in eight steps",How Chapter 70 actually works,5634,24.5,879,3.8,,10,77,16,1
/boards/sewer-commission,Sewer Commission,reference,"Home > How the money moves > Reports and analyses > The boards — each one, in one place",Sewer Commission,5597,24.3,,,,5,594,77,1
/boards/board-of-health,Board of Health,reference,"Home > How the money moves > Reports and analyses > The boards — each one, in one place",Board of Health,5574,24.2,,,,4,375,87,1
/meeting-minutes/finance-committee/2026-03-26-tZv6KVIYb9w,"Finance Committee, March 26, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, March 26, 2026",5462,23.7,,,,10,476,9,2
/analysis/sped-and-funds,"Special education, and the money outside the operating budget",page,Home > How the money moves > Reports and analyses > An analysis,"Special education, and the money outside the operating budget",5443,23.7,,,,9,146,63,0
/agents,"Every address on this site, as links",reference,"Home > Sources > Every address on this site, as links","Every address on this site, as links",5395,23.5,,,,5,125,0,0
/meeting-minutes/school-committee/2025-04-16-1ZVK0_sfUqw,"School Committee, April 16, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, April 16, 2025",5373,23.4,,,,10,478,5,2
/meeting-minutes/finance-committee/2026-04-02-erUXTd1phSg,"Finance Committee, April 2, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, April 2, 2026",5346,23.2,,,,9,437,11,2
/school-staffing,"School staffing — did it go up, and over which years",page,"Home > How the money moves > School staffing — did it go up, and over which years",Did staffing go up? 95 of 171 published spans say it fell.,5342,23.2,657,2.9,,11,251,71,1
/meeting-minutes/town-meeting/2026-05-02-XPu6b2OxSAE,"Town Meeting, May 2, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, May 2, 2026",5341,23.2,,,,9,568,11,0
/meeting-minutes/select-board/2026-03-16-QkqNg9jDIEM,"Select Board, March 16, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Select Board, March 16, 2026",5322,23.1,,,,8,442,3,0
/meeting-minutes/town-meeting/2023-11-14-b6BJO3nP1Ig,"Town Meeting, November 14, 2023",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, November 14, 2023",5228,22.7,,,,9,505,9,0
/paras,The paraprofessionals,page,Home > How the money moves > The paraprofessionals,"Fewest paraprofessionals per pupil in the group, then the most.",5125,22.3,887,3.9,,12,208,35,1
/meeting-minutes/school-committee/2026-02-25-cVYmZPJvgBg,"School Committee, February 25, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, February 25, 2026",5114,22.2,,,,10,472,3,2
/accounts,"Every account, once",reference,"Home > How the money moves > Every account, once","Every account, once",5019,21.8,,,,4,205,7,38
/meeting-minutes/school-committee/2025-10-01-9PPe7uMWAq4,"School Committee, October 1, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, October 1, 2025",5010,21.8,,,,10,513,2,2
/boards/board-of-assessors,Board of Assessors,reference,"Home > How the money moves > Reports and analyses > The boards — each one, in one place",Board of Assessors,4982,21.7,,,,5,856,65,1
/try-growth,Try growth,tool,Home > Go deeper > Try growth,What building changes,4952,21.5,,,,5,103,0,0
/meeting-minutes/school-committee/2025-09-03-SI-irBe6ABs,"School Committee, September 3, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, September 3, 2025",4950,21.5,,,,10,489,6,2
/analysis/monty-tech,The Monty Tech assessment — the school bill nobody in Lunenburg votes on,page,Home > How the money moves > Reports and analyses > An analysis,The Monty Tech assessment — the school bill nobody in Lunenburg votes on,4935,21.5,759,3.3,,10,167,31,1
/meeting-minutes/school-committee/2026-03-18-d8UUVRoCwoY,"School Committee, March 18, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, March 18, 2026",4880,21.2,,,,9,504,0,2
/meeting-minutes/school-committee/2025-09-17-1fjsnvjMFEo,"School Committee, September 17, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, September 17, 2025",4875,21.2,,,,10,477,5,2
/where-students-go-instead,"Who leaves Lunenburg schools, and where they go",page,"Home > How the money moves > Reports and analyses > Who leaves Lunenburg schools, and where they go","Who leaves Lunenburg schools, and where they go",4860,21.1,416,1.8,,10,224,83,1
/meeting-minutes/school-committee/2025-03-05-SzmFOHNxXAc,"School Committee, March 5, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, March 5, 2025",4844,21.1,,,,9,482,4,0
/health-insurance,Health insurance,page,Home > How the money moves > Reports and analyses > Health insurance,Health insurance: what changing the plan does,4794,20.8,777,3.4,,11,259,38,1
/youth-sports,Youth sports and the fields,page,Home > How the money moves > Reports and analyses > Youth sports and the fields,"Youth sports and the fields: the funds, and who uses them",4782,20.8,742,3.2,,8,952,35,1
/meeting-minutes/school-committee/2026-06-24-ZS-tW_drdqE,"School Committee, June 24, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, June 24, 2026",4777,20.8,,,,10,358,5,2
/meeting-minutes/school-committee/2025-01-08-KKKsaovcTqQ,"School Committee, January 8, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, January 8, 2025",4684,20.4,,,,10,443,4,2
/meeting-minutes/school-committee/2025-02-05-ad6QtSaJqVU,"School Committee, February 5, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, February 5, 2025",4684,20.4,,,,9,454,0,2
/meeting-minutes/school-committee/2025-03-12-b7caO9Kd7VA,"School Committee, March 12, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, March 12, 2025",4657,20.2,,,,10,431,3,2
/meeting-minutes/select-board/2025-10-07-h2XwBjhMCiI,"Select Board, October 7, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Select Board, October 7, 2025",4657,20.2,,,,10,532,3,2
/meeting-minutes/school-committee/2025-11-05-gvMBXdLD8D4,"School Committee, November 5, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, November 5, 2025",4651,20.2,,,,10,473,3,2
/meeting-minutes/school-committee/2025-12-17-HqOLbOduM1I,"School Committee, December 17, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, December 17, 2025",4646,20.2,,,,10,496,3,2
/meeting-minutes/finance-committee/2026-07-23-KZQrOju5CWo,"Finance Committee, July 23, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, July 23, 2026",4619,20.1,,,,8,485,0,2
/meeting-minutes/school-committee/2025-02-26-YiQ68uncnz8,"School Committee, February 26, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, February 26, 2025",4560,19.8,,,,10,452,3,2
/meeting-minutes/school-committee/2025-05-21-TTLkkbHgrRk,"School Committee, May 21, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, May 21, 2025",4546,19.8,,,,9,490,0,2
/analysis/free-cash,"Free cash: is Lunenburg hoarding, or rebuilding?",page,Home > How the money moves > Reports and analyses > An analysis,"Free cash: is Lunenburg hoarding, or rebuilding?",4544,19.8,100,0.4,,9,185,39,1
/meeting-minutes/finance-committee/2026-08-13-v4qvpgKlYRg,"Finance Committee, August 13, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, August 13, 2026",4533,19.7,,,,9,488,5,0
/reports,Analysis: Town and Schools,reference,Home > How the money moves > Reports and analyses,Reports and analyses,4528,19.7,,,,9,207,0,1
/meeting-minutes/school-committee/2024-06-05-wHfHHwQMHoI,"School Committee, June 5, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, June 5, 2024",4524,19.7,,,,9,426,3,2
/meeting-minutes/school-committee/2025-05-07-GRGJdd9o4xQ,"School Committee, May 7, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, May 7, 2025",4520,19.7,,,,10,406,5,2
/meeting-minutes/school-committee/2025-11-24--J6CegBuG44,"School Committee, November 24, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, November 24, 2025",4517,19.6,,,,8,505,3,0
/meeting-minutes/parks-commission/2025-06-04-cqx_kxzHC3c,"Parks Commission, June 4, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Parks Commission, June 4, 2025",4510,19.6,,,,8,390,0,2
/meeting-minutes/select-board/2026-04-07-rPW2ew89EDs,"Select Board, April 7, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Select Board, April 7, 2026",4466,19.4,,,,10,428,2,2
/meeting-minutes/school-committee/2026-04-01-4ef6KsOweWs,"School Committee, April 1, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, April 1, 2026",4460,19.4,,,,9,459,0,2
/meeting-minutes/school-committee/2024-05-01-BZaMa3F272M,"School Committee, May 1, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, May 1, 2024",4458,19.4,,,,9,455,2,2
/meeting-minutes/school-committee/2026-03-04-nfSdiKc6yvo,"School Committee, March 4, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, March 4, 2026",4457,19.4,,,,10,427,3,2
/meeting-minutes/town-meeting/2024-11-12-WdWx2IE3FeQ,"Town Meeting, November 12, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, November 12, 2024",4448,19.3,,,,9,472,4,0
/what-special-education-costs,"What out-of-district special education costs, and what comes back",page,"Home > How the money moves > Reports and analyses > Special education — four reports > What out-of-district special education costs, and what comes back","What out-of-district special education costs, and what comes back",4440,19.3,670,2.9,,10,180,71,1
/health-insurance-what-it-costs,Health insurance — the cost outside the school budget,page,Home > How the money moves > Health insurance — the cost outside the school budget,"$1,521,536 of school health insurance, appropriated to a department that is not the schools.",4438,19.3,607,2.6,,9,195,64,1
/meeting-minutes/finance-committee/2026-02-05-6csHPPkKg7c,"Finance Committee, February 5, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, February 5, 2026",4417,19.2,,,,8,422,0,2
/meeting-minutes/town-meeting/2023-05-06-MDSx17v0-dU,"Town Meeting, May 6, 2023",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, May 6, 2023",4412,19.2,,,,9,472,12,0
/meeting-minutes/finance-committee/2025-11-13-qj8kSA4GSb0,"Finance Committee, November 13, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, November 13, 2025",4402,19.1,,,,10,425,5,2
/meeting-minutes/school-committee/2025-12-03-LAK2GHxq2is,"School Committee, December 3, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, December 3, 2025",4391,19.1,,,,9,444,0,2
/how-many-students-are-on-an-iep,How many Lunenburg children are on an IEP,page,Home > How the money moves > Reports and analyses > Special education — four reports > How many Lunenburg children are on an IEP,How many Lunenburg children are on an IEP,4385,19.1,449,2.0,,11,165,64,1
/meeting-minutes/school-committee/2026-04-15-3qvTFo6yU_s,"School Committee, April 15, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, April 15, 2026",4385,19.1,,,,8,405,0,2
/meeting-minutes/school-committee/2024-10-02-v1voFue_YAA,"School Committee, October 2, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, October 2, 2024",4373,19.0,,,,9,507,2,2
/meeting-minutes/school-committee/2024-09-04-qlBSMCGeZF0,"School Committee, September 4, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, September 4, 2024",4370,19.0,,,,10,422,3,2
/meeting-minutes/school-committee/2026-05-06-x3f-Q2Db_14,"School Committee, May 6, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, May 6, 2026",4366,19.0,,,,10,421,10,2
/meeting-minutes/school-committee/2026-07-29-wR4gBkOqIaE,"School Committee, July 29, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, July 29, 2026",4365,19.0,,,,9,434,11,0
/meeting-minutes/school-committee/2026-02-04-HsjpFotE9hc,"School Committee, February 4, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, February 4, 2026",4360,19.0,,,,10,419,4,2
/meeting-minutes/school-committee/2026-01-12-D34uSOZ8GkY,"School Committee, January 12, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, January 12, 2026",4351,18.9,,,,8,424,5,0
/meeting-minutes/school-committee/2024-09-04-0qgDLg6ni4k,"School Committee, September 4, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, September 4, 2024",4341,18.9,,,,10,444,2,2
/meeting-minutes/school-committee/2025-01-22-TCtuISoe8iU,"School Committee, January 22, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, January 22, 2025",4338,18.9,,,,9,456,2,2
/meeting-minutes/select-board/2025-12-16-VN__R5GGS8M,"Select Board, December 16, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Select Board, December 16, 2025",4325,18.8,,,,9,387,0,2
/meeting-minutes/school-committee/2026-06-03-Iu4Ha9TpRKs,"School Committee, June 3, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, June 3, 2026",4318,18.8,,,,9,448,0,2
/meeting-minutes/parks-commission/2025-07-30-dCIY3fUcxeg,"Parks Commission, July 30, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Parks Commission, July 30, 2025",4309,18.7,,,,8,405,0,2
/meeting-minutes/school-committee/2024-11-06-tlRO7Qf_T20,"School Committee, November 6, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, November 6, 2024",4304,18.7,,,,10,473,2,2
/meeting-minutes/school-committee/2024-12-18-SfulwvFLx9w,"School Committee, December 18, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, December 18, 2024",4304,18.7,,,,9,448,2,2
/meeting-minutes/school-committee/2026-03-23-rfgkwHS9-54,"School Committee, March 23, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, March 23, 2026",4299,18.7,,,,9,373,0,2
/meeting-minutes/select-board/2026-02-10-g_Fw3bGKhWU,"Select Board, February 10, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Select Board, February 10, 2026",4286,18.6,,,,9,493,0,2
/meeting-minutes/school-committee/2026-03-10-J2xuwwj9eJo,"School Committee, March 10, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, March 10, 2026",4266,18.5,,,,9,535,0,2
/meeting-minutes/school-committee/2025-06-04-T4UnAG5nr70,"School Committee, June 4, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, June 4, 2025",4251,18.5,,,,10,498,2,2
/budget-feed,The budget feed — FY28,reference,"Home > How the money moves > Reports and analyses > The budget feed — every board, everything about money",The budget feed — FY28,4243,18.4,,,,4,166,0,1
/meeting-minutes/select-board/2026-05-19-JnVWS4tJouo,"Select Board, May 19, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Select Board, May 19, 2026",4226,18.4,,,,9,393,0,2
/meeting-minutes/school-committee/2024-10-16-cFbtEkWsYzY,"School Committee, October 16, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, October 16, 2024",4203,18.3,,,,9,476,3,2
/meeting-minutes/school-committee/2024-08-07-e52PjwJitt0,"School Committee, August 7, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, August 7, 2024",4173,18.1,,,,10,460,2,2
/who-ends-up-out-of-district,Who ends up out of district,page,Home > How the money moves > Reports and analyses > Special education — four reports > Who ends up out of district,Who ends up out of district,4168,18.1,475,2.1,,9,183,56,1
/meeting-minutes/finance-committee/2026-01-08-GykEFtJVvsM,"Finance Committee, January 8, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, January 8, 2026",4148,18.0,,,,9,428,2,2
/meeting-minutes/town-meeting/2022-11-15-2Mm0Wn4G_kA,"Town Meeting, November 15, 2022",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Town Meeting, November 15, 2022",4119,17.9,,,,9,462,4,0
/meeting-minutes/finance-committee/2025-10-23-ji1JxJt4efU,"Finance Committee, October 23, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, October 23, 2025",4106,17.9,,,,9,416,6,2
/meeting-minutes/finance-committee/2026-03-05-nOjhdlIY9m4,"Finance Committee, March 5, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Finance Committee, March 5, 2026",4098,17.8,,,,10,426,2,1
/meeting-minutes/school-committee/2026-01-21-NIZgbfhPwD8,"School Committee, January 21, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, January 21, 2026",4089,17.8,,,,9,439,2,2
/meeting-minutes/select-board/2026-06-16-dJfFYbktFzs,"Select Board, June 16, 2026",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Select Board, June 16, 2026",4087,17.8,,,,9,439,2,1
/meeting-minutes/school-committee/2024-04-03-BoMEMfRTJkk,"School Committee, April 3, 2024",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, April 3, 2024",4077,17.7,,,,9,448,2,2
/meeting-minutes/school-committee/2025-03-19-iRZbgdj0_rc,"School Committee, March 19, 2025",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"School Committee, March 19, 2025",4068,17.7,,,,10,469,6,2
