fy,page,subject,priority,state,figures,figures_reversed,read_by,heading,answers,document
2023,40,special-revenue,1,read,56,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,41,special-revenue,1,read,75,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,42,special-revenue,1,read,60,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,43,special-revenue,1,read,31,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2022,33,special-revenue,1,read,93,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,34,special-revenue,1,read,96,0,"grants_history, special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,35,special-revenue,1,read,80,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,36,special-revenue,1,read,86,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,37,special-revenue,1,read,98,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2021,32,special-revenue,1,read,87,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2020,31,special-revenue,1,read,89,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,32,special-revenue,1,read,80,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,33,special-revenue,1,read,85,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,34,special-revenue,1,read,87,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,35,special-revenue,1,read,91,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2018,35,special-revenue,1,read,79,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,36,special-revenue,1,read,79,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,37,special-revenue,1,read,69,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,38,special-revenue,1,read,76,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2018,39,special-revenue,1,read,82,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2017,29,special-revenue,1,read,77,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,30,special-revenue,1,read,78,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,31,special-revenue,1,read,73,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,32,special-revenue,1,read,62,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,33,special-revenue,1,read,79,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2016,31,special-revenue,1,read,80,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,33,special-revenue,1,read,80,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,34,special-revenue,1,read,61,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2016,35,special-revenue,1,read,138,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2015,29,special-revenue,1,read,69,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,30,special-revenue,1,read,75,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,31,special-revenue,1,read,66,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,32,special-revenue,1,read,58,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2015,33,special-revenue,1,read,73,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2014,29,special-revenue,1,read,77,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,30,special-revenue,1,read,78,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,31,special-revenue,1,read,61,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,32,special-revenue,1,read,63,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2014,33,special-revenue,1,read,71,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2013,71,special-revenue,1,read,75,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,72,special-revenue,1,read,76,0,special_revenue_funds,TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,73,special-revenue,1,read,61,0,special_revenue_funds,TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,74,special-revenue,1,read,64,0,special_revenue_funds,TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2013,75,special-revenue,1,read,63,0,special_revenue_funds,TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4119-fy-2013-annual-town-report.tsv
2012,66,special-revenue,1,read,81,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,67,special-revenue,1,read,90,0,"special_revenue_funds, special_revenue_printed_totals, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,68,special-revenue,1,read,62,0,special_revenue_funds,TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,69,special-revenue,1,read,58,0,special_revenue_funds,TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2012,70,special-revenue,1,read,70,0,special_revenue_funds,TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4118-fy-2012-annual-town-report.tsv
2011,66,special-revenue,1,read,84,0,"special_revenue_funds, special_revenue_read",TOWN OF LUNENBURG,"The load-bearing one. CLAUDE.md rule 11: grants, circuit breaker, school choice, revolving funds and gifts pay for real staff and appear NOWHERE in the budget, so a line that rises because a grant ended looks identical to one that rises because the district grew. Closes the registered gaps ""What any special revenue fund bought"" and ""Grants received in earlier years"", and bears on ""Which fund pays which post"".",sources/town-budget/ocr/4117-fy-2011-annual-town-report.tsv
