label,upstream,local,text,bytes,sha256,read
FY26 Level Service Budget Presentation,https://drive.google.com/file/d/1hJagPg9F_zZJ813J5IiiXnkBnsAxswl6/view?usp=drive_link,sources/district-budget/docs/fy26-level-service-budget-presentation.pdf,sources/district-budget/text/fy26-level-service-budget-presentation.txt,311904,7087c89b3928e54a5610c539fb18123154d5a7fb219990db2b18213bb73abcb2,pdf text layer
Free Cash Presentation,https://drive.google.com/file/d/1rdtrb2Llu5ILfKDY-4pV3Haz0_BqgRwT/view?usp=drive_link,sources/district-budget/docs/free-cash-presentation.pdf,sources/district-budget/text/free-cash-presentation.txt,633231,31fe47362944089b0b38a8601b8a655f37ecdbba1dc125bd603094c5cc32d9ed,pdf text layer
School Department FY26 Budget Overview,https://drive.google.com/file/d/1XrQR-5AfKCXeg6Hhv_pGg9Wf38_jvzYq/view?usp=drive_link,sources/district-budget/docs/school-department-fy26-budget-overview.pdf,sources/district-budget/text/school-department-fy26-budget-overview.txt,615467,803eeaa19367da44134428be45babc09248b6d795065ca09767e510e47f3bb6a,pdf text layer
FY26 Superintendent&#39;s Proposed Budget 2/26/25 UPDATED 3/12/25,https://drive.google.com/file/d/14AXiUuLT-jLkmR7YxlzWwjVBzsxK8i_h/view?usp=drive_link,sources/district-budget/docs/fy26-superintendent-39-s-proposed-budget-2-26-25-updated-3-12-25.pdf,sources/district-budget/text/fy26-superintendent-39-s-proposed-budget-2-26-25-updated-3-12-25.txt,178173,4e5955892873f386009fef9762adc308b113f129191bc21cbb56a90f072fdfbb,pdf text layer
FY26 School Department Budget FINCOMM,https://drive.google.com/file/d/10559_Enqo5Aps8Th04CpWu--1d9VC5It/view?usp=drive_link,sources/district-budget/docs/fy26-school-department-budget-fincomm.pdf,sources/district-budget/text/fy26-school-department-budget-fincomm.txt,726805,f27b267738520ff48c5e7eb9c516bdc584745dcf4161de45056fa0fc0ab2b07b,pdf text layer
FINAL FY26 Town Manager&#39;s Target Budget Approved 3-12-25,https://drive.google.com/file/d/1oMrWV7-_K-EYq8ZYxAmoBmU2mSM1XQOJ/view?usp=drive_link,sources/district-budget/docs/final-fy26-town-manager-39-s-target-budget-approved-3-12-25.pdf,sources/district-budget/text/final-fy26-town-manager-39-s-target-budget-approved-3-12-25.txt,597719,828824b0c060fae9530e5132ba6aeacf227a89fbbd35661caccb226e6174d2b3,pdf text layer
FY26 School Dept. Approved Budget 3-12-25,https://drive.google.com/file/d/1ivO3-ZAKXtu0VEJuI7qDv8xEagit_jRq/view?usp=drive_link,sources/district-budget/docs/fy26-school-dept-approved-budget-3-12-25.pdf,sources/district-budget/text/fy26-school-dept-approved-budget-3-12-25.txt,107706,e8299f33ebd83266b8fe24cb33647e8007dfcfac6610d94b26ff5a2f0416ad80,pdf text layer
School Committee Approved FY26 Budget Personnel Cuts,https://drive.google.com/file/d/1ncK3VLbUe0Cr7d92ePey7uDS3r8wQr37/view?usp=drive_link,sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,sources/district-budget/text/school-committee-approved-fy26-budget-personnel-cuts.txt,111590,7d036aa08b5164b9e0103d1e6a35897bcbd0d311ea59aa6da412855d4d9be509,pdf text layer
TM Budget Updated 3-12-25,https://drive.google.com/file/d/1gnnCgpWTL0HptwK1tG8EF1DoqYOeDSWf/view?usp=drive_link,sources/district-budget/docs/tm-budget-updated-3-12-25.pdf,sources/district-budget/text/tm-budget-updated-3-12-25.txt,650518,a3f42d69989d08ac48def8a2150a0ee3d5d1d47aa3911a24ffc9887e6a6254ee,pdf text layer
3/12/25 Town Manager&#39;s Budget,https://drive.google.com/file/d/1-VhsxRDJaU2Hq_NWkbDBWy4Gxy6zq8hu/view?usp=drive_link,sources/district-budget/docs/3-12-25-town-manager-39-s-budget.pdf,sources/district-budget/text/3-12-25-town-manager-39-s-budget.txt,244571,ee64717d3a8c454fa7aa5199f7e44694bbeb599a2aed1bf659a818ad7f9b5739,pdf text layer
FY26 Superintendent&#39;s Proposed Budget 2/26/25 Updated 3/12/25,https://drive.google.com/file/d/1sqlWrNsH43AE8JqAAnqNPpOt1mi3gCDU/view?usp=drive_link,sources/district-budget/docs/fy26-superintendent-39-s-proposed-budget-2-26-25-updated-3-12-25.pdf,sources/district-budget/text/fy26-superintendent-39-s-proposed-budget-2-26-25-updated-3-12-25.txt,178173,4e5955892873f386009fef9762adc308b113f129191bc21cbb56a90f072fdfbb,already had it
Athletic Program Costs by Sport,https://drive.google.com/file/d/1KNp5CK-CELcwLjPDQPpgk1aagkSHC-Du/view?usp=drive_link,sources/district-budget/docs/athletic-program-costs-by-sport.pdf,sources/district-budget/text/athletic-program-costs-by-sport.txt,54143,218d17e1f192de3248888d09ba9f70928cf692b8947e8939385f8bf362d302f4,pdf text layer
Final FY26 Town Manager&#39;s Target Budget,https://drive.google.com/file/d/1YjS4-FaFA5Zy-ZGy6pnkTF3myneKPsq0/view?usp=drive_link,sources/district-budget/docs/final-fy26-town-manager-39-s-target-budget.pdf,sources/district-budget/text/final-fy26-town-manager-39-s-target-budget.txt,437090,8e817e83d1fba756a8e4cf9e2706fcd923655c0860e6216f9405dd2541c4d939,pdf text layer
"Summary Page-TM Target Budget, Needs Based, Level Service",https://drive.google.com/file/d/1WkxOrEVlKCN290Sh04dltCB0jbY_3HcE/view?usp=drive_link,sources/district-budget/docs/summary-page-tm-target-budget-needs-based-level-service.pdf,sources/district-budget/text/summary-page-tm-target-budget-needs-based-level-service.txt,551704,3b80ed3c8081be63fe8d33bc1385e4a345b290556e8b975450d5e26f990bc3c1,pdf text layer
TM Budget Side by Side view,https://drive.google.com/file/d/1n6at46DkLQNADdDf3PPH8_UHekAB83k5/view?usp=drive_link,sources/district-budget/docs/tm-budget-side-by-side-view.pdf,sources/district-budget/text/tm-budget-side-by-side-view.txt,181307,b13d93edcbc362aed086a01ab1923cbceff1cdce08d0bcaade6e96d3103a34d4,pdf text layer
Updated Town Manager&#39;s Budget Sheets 2.66% 2-5-25,https://docs.google.com/spreadsheets/d/1-51ZwN7Bb9qrnM3bPrMMdXveWfrxJq5c/edit?usp=drive_link&amp;ouid=115866774118931112779&amp;rtpof=true&amp;sd=true,sources/district-budget/docs/updated-town-manager-39-s-budget-sheets-2-66-2-5-25.xlsx,sources/district-budget/text/updated-town-manager-39-s-budget-sheets-2-66-2-5-25.txt,25580,b80f9cf981cf5a029e6b4c0fb71935fdb603109af2f6c69ae6abd83400ee32a5,spreadsheet
FY26 Town Manager&#39;s Target Budget 2-5-25 Presentation,https://drive.google.com/file/d/1OK-Zvco1_7bAswJc2uejSOhYhh3sBcu2/view?usp=drive_link,sources/district-budget/docs/fy26-town-manager-39-s-target-budget-2-5-25-presentation.pdf,sources/district-budget/text/fy26-town-manager-39-s-target-budget-2-5-25-presentation.txt,217836,f96177a0fe50c33c701b3e435d76c5fca436251e32be405513b291e98b0c4dab,pdf text layer
FY26 Superintendent&#39;s Proposed Budget Presentation 1-22-25,https://drive.google.com/file/d/1NIFFAn6bpI5cKGdoQokdDhPQo3XyG8X4/view?usp=drive_link,sources/district-budget/docs/fy26-superintendent-39-s-proposed-budget-presentation-1-22-25.pdf,sources/district-budget/text/fy26-superintendent-39-s-proposed-budget-presentation-1-22-25.txt,836679,1f7a2f82f926d2239c2efac8476b2d8fe568034a797e7823a5f3a8a3a56a7689,pdf text layer
FY25 FINAL APPROVED BUDGET-EXPENSES 6-5-24,https://drive.google.com/file/d/1wNnSwruB8KuJ4S3hlYucLSU4AXSViKYe/view?usp=drive_link,sources/district-budget/docs/fy25-final-approved-budget-expenses-6-5-24.pdf,sources/district-budget/text/fy25-final-approved-budget-expenses-6-5-24.txt,77601,738aedf50c128ad029086c425d576f2b57a0372cd9630d30d0f5589146ebc6f4,pdf text layer
FY25 FINAL APPROVED BUDGET-SALARIES 6-5-24,https://drive.google.com/file/d/1nOiywE7p55WfOFbfXnGRP1yxX52wuppG/view?usp=drive_link,sources/district-budget/docs/fy25-final-approved-budget-salaries-6-5-24.pdf,sources/district-budget/text/fy25-final-approved-budget-salaries-6-5-24.txt,45645,159f6aed8a8aa62555cfb8a213ec0364195d4c72704ca7b1ce15bed2c8634d76,pdf text layer
LUNENBURG SCHOOL COMMITTEE OVERRIDE STATEMENT,https://drive.google.com/file/d/1pR-jBGbi7SFv2ZEdYRE1BTejU37PeqnK/view?usp=drive_link,sources/district-budget/docs/lunenburg-school-committee-override-statement.pdf,sources/district-budget/text/lunenburg-school-committee-override-statement.txt,1493674,7d45eac447431f812a7c02cd00e7ae73315a0612cdce215fb2c69657647cc1b7,ocr
Final FY25 Budget 4/3/24,https://drive.google.com/file/d/1zSAyQgXF8M99F-bgkgpG94rHF26-Y4IZ/view?usp=drive_link,sources/district-budget/docs/final-fy25-budget-4-3-24.pdf,sources/district-budget/text/final-fy25-budget-4-3-24.txt,127529,0be6d0544d175c957eb34f46a1999e8c873532bbbab9bd8ffa81e8fe2c499136,pdf text layer
FY25 Superintendent&#39;s Budget Update,https://drive.google.com/file/d/1yJNhIyBLVT8mu4GeJuQSjniKCPA41Oyq/view?usp=drive_link,sources/district-budget/docs/fy25-superintendent-39-s-budget-update.pdf,sources/district-budget/text/fy25-superintendent-39-s-budget-update.txt,798650,9169e2700def0c1a2b6bebbc55d4e7f737ea5c3a7354657f4d804c017af5dc7c,pdf text layer
FY25 Recommended Budget Update with Needs Based Budget,https://drive.google.com/file/d/1UhZyJd2AZhAQY4kzrZuSMAyEknZVWR9q/view?usp=drive_link,sources/district-budget/docs/fy25-recommended-budget-update-with-needs-based-budget.pdf,sources/district-budget/text/fy25-recommended-budget-update-with-needs-based-budget.txt,169093,8ed6169dc735e5f68051d0270c4fc0408c07480702f9347922a82e4caebae0bf,pdf text layer
FY25 Recommended Budget 5.52%,https://drive.google.com/file/d/10jitFzL5x1sKBYeZswgFLgdsX4Wnj3Rz/view?usp=drive_link,sources/district-budget/docs/fy25-recommended-budget-5-52.pdf,sources/district-budget/text/fy25-recommended-budget-5-52.txt,11957356,4bc750ca6959eb0bb48d28c995b4293dcf893906018cdc9c2b8d13434f696653,ocr
FAQ FY25 Budget,https://drive.google.com/file/d/1MAq26ixldhSnZ9i6Bh7rjPLUmQBRDDTD/view?usp=drive_link,sources/district-budget/docs/faq-fy25-budget.pdf,sources/district-budget/text/faq-fy25-budget.txt,94576,560cdd6dbd1c9f0ce8bd7305afc0cae84df1649e576861e3a9d2a55fe4ba2f7e,pdf text layer
FY24 Superintendent&#39;s Recommended Budget Presentation,https://drive.google.com/file/d/1fC_PanG7-TaLR84WdJpi1P1_ujSqEnvZ/view?usp=share_link,sources/district-budget/docs/fy24-superintendent-39-s-recommended-budget-presentation.pdf,sources/district-budget/text/fy24-superintendent-39-s-recommended-budget-presentation.txt,495271,ea8723213e010dd4dcbc1dab324c959fa98e37510688c9009d10ecf7a83d0220,pdf text layer
FY24 APPROVED BUDGET,https://drive.google.com/file/d/1oa9cOCN1sII1tuN54HBQsSaRQLEztPU1/view?usp=drive_link,sources/district-budget/docs/fy24-approved-budget.pdf,sources/district-budget/text/fy24-approved-budget.txt,635113,34f54f48404103b0442e1b0cbfb02cf0886a67fd0a603d887367a18e4db62718,pdf text layer
FY 24 BUDGET UPDATE,https://drive.google.com/file/d/1NVY9BY9c_Q0R9uw1w2_S0pUrlHcr8nQJ/view?usp=share_link,sources/district-budget/docs/fy-24-budget-update.pdf,sources/district-budget/text/fy-24-budget-update.txt,742753,7cfba6b19fe3235e53266261fc6558da5b951e3db6e01dfb750fed665439bd2b,pdf text layer
FY23 Quarterly Budget Update,https://drive.google.com/file/d/1nPw70g2flOz0puiMHr6VF9uFKGXadx3V/view?usp=share_link,sources/district-budget/docs/fy23-quarterly-budget-update.pdf,sources/district-budget/text/fy23-quarterly-budget-update.txt,566218,6fb1e3a1b304e64d7920fdbcdb59bff1e896dcb2f2817a0ab3be6d4e06060fb7,pdf text layer
FY23 APPROVED BUDGET,https://drive.google.com/file/d/1yfaOxs0XQQXVYqzbNcUUW2VjRs3tuU1s/view?usp=sharing,sources/district-budget/docs/fy23-approved-budget.pdf,sources/district-budget/text/fy23-approved-budget.txt,519281,3914bb9715a127102f440542e6721816eb84fed8f6399ccedfdf9a7a2395c4b2,pdf text layer
Notice of Budget Hearing 3-16-22,https://drive.google.com/file/d/16Fi9dvsxHJORgAqgsIBjchsQGD8_XKHR/view?usp=sharing,sources/district-budget/docs/notice-of-budget-hearing-3-16-22.pdf,sources/district-budget/text/notice-of-budget-hearing-3-16-22.txt,6628,2f27079c4185c6b2cf60d872e3716c442dd38d63f323dd8885c4729b5a16084c,pdf text layer
FY23 Superintendent Recommended Budget Presentation,https://drive.google.com/file/d/1at7iih46R1xhKWdkt4hCj7p_kYEHQiAf/view?usp=sharing,sources/district-budget/docs/fy23-superintendent-recommended-budget-presentation.pdf,sources/district-budget/text/fy23-superintendent-recommended-budget-presentation.txt,522547,2e613e609a998e12b8d0a3ccd8866af21ff6bebe680d37d40937a074bb4d7ba7,pdf text layer
FY23 Superintendent Recommended Budget,https://drive.google.com/file/d/1jfrcOR8NPIC2oGzaqljQfT1SWk5j-aiy/view?usp=sharing,sources/district-budget/docs/fy23-superintendent-recommended-budget.pdf,sources/district-budget/text/fy23-superintendent-recommended-budget.txt,632459,216d23067f6e11f40c5dd9925bbc219c3af0fb0c1d4b4b8b0ef19e998b159392,pdf text layer
Budget Hearing-FY22 Superintendent&#39;s Recommended Budget,https://drive.google.com/file/d/1qXW14jN62_E__OK2V2B5rI7_bgsi91z-/view?usp=sharing,sources/district-budget/docs/budget-hearing-fy22-superintendent-39-s-recommended-budget.pdf,sources/district-budget/text/budget-hearing-fy22-superintendent-39-s-recommended-budget.txt,533197,6c916248bebc5eaf1e1b46c9b9ceee3a348c8d0341ea08b343da36db9b19ae24,pdf text layer
Budget Hearing-Superintendent FY22 Recommended Budget,https://drive.google.com/file/d/1LuW8loCIeY7VcHgj5NDh8gfY_mpSm4jR/view?usp=sharing,sources/district-budget/docs/budget-hearing-superintendent-fy22-recommended-budget.pdf,sources/district-budget/text/budget-hearing-superintendent-fy22-recommended-budget.txt,4492143,911df241398b83d24d8094067ba1f1b66e121025b445f0d8d0e31fac45d3a28e,pdf text layer
FY22 Budget Schedule,https://drive.google.com/file/d/1Glo6BCEQDJaeadnyyLUQ2kU3V4BTZfzI/view?usp=sharing,sources/district-budget/docs/fy22-budget-schedule.pdf,sources/district-budget/text/fy22-budget-schedule.txt,413358,32441e68386bcc0adeb433858434f8ac8976c912f52958be8bb6ff9c962b27ee,pdf text layer
FY21 Approved School Budget 6-13-20,https://drive.google.com/file/d/1PWvp7zV7GQZOgyHGUbtCOBkYqfjvgGL2/view?usp=sharing,sources/district-budget/docs/fy21-approved-school-budget-6-13-20.pdf,sources/district-budget/text/fy21-approved-school-budget-6-13-20.txt,638940,36a48c47c2d563a26bfe4a698925f6442da170214bb001a9abfeca3190ab3166,pdf text layer
"Notice of Budget Hearing April 29, 2020",https://drive.google.com/file/d/10ks_7K772Qevdw6oEJeSQvQlMAD5k2uW/view?usp=sharing,sources/district-budget/docs/notice-of-budget-hearing-april-29-2020.bin,,931490,961d69ac67bbe1c5bea097fdc23bab74bdd5c3d8c9fa8d2ac9b2e067975f1eef,no extractor
"FY21 Proposed Budget April 29, 2020",https://drive.google.com/file/d/1tDxM8D2oQ7BuKt5gGiBzxOQkVJl4Xv_g/view?usp=sharing,sources/district-budget/docs/fy21-proposed-budget-april-29-2020.pdf,sources/district-budget/text/fy21-proposed-budget-april-29-2020.txt,639790,1efc2020652b304d7d4793ff99d68978378ecd22699c21c897511e00337d3124,pdf text layer
FY21 Recommended Budget Presentation 4-22-20,https://drive.google.com/file/d/10nNbD6OYmngwxKH-pk-6k2Ukg3dDQeAs/view?usp=sharing,sources/district-budget/docs/fy21-recommended-budget-presentation-4-22-20.pdf,sources/district-budget/text/fy21-recommended-budget-presentation-4-22-20.txt,1673623,5beaa65690365eb94123b48584921b08fb895657cfd75d9ba22a1d4047961f44,pdf text layer
Superintendent’s Proposed FY21 Budget Presentation,https://drive.google.com/open?id=12yhM5zdKSwBe0Z4_u_vnna13-xeCzTE4,sources/district-budget/docs/superintendent-s-proposed-fy21-budget-presentation.pdf,sources/district-budget/text/superintendent-s-proposed-fy21-budget-presentation.txt,3833660,085f3aecd59b68244dcb90fe257c9ddadd59b5896afcc568a2974facdb2f5b8f,pdf text layer
Superintendent&#39;s FY21 Budget - Identified Needs,https://drive.google.com/file/d/1gySzdcYy5vJO1BDTR2F3rHOXFMEbQqUc/view?usp=sharing,sources/district-budget/docs/superintendent-39-s-fy21-budget-identified-needs.pdf,sources/district-budget/text/superintendent-39-s-fy21-budget-identified-needs.txt,1003682,efc86b9004350d5b2f65c89554067abaf7346bd0ffd85977a2ff19d387150c61,pdf text layer
Town Meeting FY20 Budget Documents,https://drive.google.com/file/d/1CLVdMtkGvtvtHoNJPBL6YEulsEh4OhHO/view?usp=sharing,sources/district-budget/docs/town-meeting-fy20-budget-documents.pdf,sources/district-budget/text/town-meeting-fy20-budget-documents.txt,9867652,9c9323c53a74638ef322151ebba9c4848a0de933fe79077f1310fbbd1a33291c,ocr
Town Meeting Budget Presentation,https://drive.google.com/file/d/1ciEXB4jOhnQ4pIpMwHtQnKm0b-AeM9Ay/view?usp=sharing,sources/district-budget/docs/town-meeting-budget-presentation.pdf,sources/district-budget/text/town-meeting-budget-presentation.txt,548492,d7137d9f545a54727bc5992dcdebd16a54789e74638966fc0603d5f33c06a379,pdf text layer
Superintendent’s Recommended FY20 Budget Presentation,https://drive.google.com/file/d/1TzaN2O5zfqtpxcFNyWvg0Xq-oMpfxQm2/view?usp=sharing,sources/district-budget/docs/superintendent-s-recommended-fy20-budget-presentation.pdf,sources/district-budget/text/superintendent-s-recommended-fy20-budget-presentation.txt,1436186,b9542c0f02c48dddda4b71e5856c421ec7c1ec2df6cc3b135e1c6d2663409098,pdf text layer
Budget Hearing - FY20 Proposed LPS Budget,https://drive.google.com/open?id=1E8JFnIMnJ5rWUiKzSBrIN4bQ9kJPgyjB,sources/district-budget/docs/budget-hearing-fy20-proposed-lps-budget.pdf,sources/district-budget/text/budget-hearing-fy20-proposed-lps-budget.txt,536864,9c2266bc96789371415210ecb8f1a2bd95843caed5455ed1dc8ca709533c628a,pdf text layer
Superintendent’s Budget Recommendations,https://docs.google.com/document/d/1RsIjaplMSrIRN1mqLEmDZGgHdLbh_oEkGc0CIl-qO8w/edit?usp=sharing,sources/district-budget/docs/superintendent-s-budget-recommendations.docx,sources/district-budget/text/superintendent-s-budget-recommendations.txt,8226,988163c21725b291fc5fe99fe459f03b11cf3a7a8cdf84d8736f8f7d7b2d9e68,document
Notice of Public Hearing - FY20 Budget,https://drive.google.com/open?id=1XK3NgvlkLDMZ4oGt0pUzAvX21JrM4hM8,sources/district-budget/docs/notice-of-public-hearing-fy20-budget.pdf,sources/district-budget/text/notice-of-public-hearing-fy20-budget.txt,52908,3e6d18936e0493721c5eea84caa12d1603e07a0a1cc5ef3a2fc6bbc29cdb6d15,pdf text layer
"FY20 Budget Update - Recommended Reductions as of March 6, 2019",https://drive.google.com/open?id=1dFjZ5KC-RamQDuWF8luyjLkFqRZFriOk,sources/district-budget/docs/fy20-budget-update-recommended-reductions-as-of-march-6-2019.pdf,sources/district-budget/text/fy20-budget-update-recommended-reductions-as-of-march-6-2019.txt,1046179,6920363fc4c30a3bd058f748a4c681c5190ea652c7de979bfd41a0b2c1ebe29e,pdf text layer
"FY20 Budget Update - Recommended Reductions as of February 6, 2019",https://drive.google.com/open?id=1OB-9wRp0Th0WXiRoNOVI8_-UTvTIECjl,sources/district-budget/docs/fy20-budget-update-recommended-reductions-as-of-february-6-2019.pdf,sources/district-budget/text/fy20-budget-update-recommended-reductions-as-of-february-6-2019.txt,924501,7f7f9673946ecdd109d4fe9c610b480fc9091bc5e2a6b0d4b9ffd25d1f6644db,pdf text layer
Community Forums Scheduled on School Department Budget,https://docs.google.com/document/d/1NrKTOrbVYEEt5tb_WGS3caDkM42oX8ik93RWg26fakE/edit?usp=sharing,sources/district-budget/docs/community-forums-scheduled-on-school-department-budget.docx,sources/district-budget/text/community-forums-scheduled-on-school-department-budget.txt,195290,747ad25532ddfba617947898fc079468c05c2bea2ee63f9e85f97aab8adb6571,document
The Tale of Our Ten Districts,https://drive.google.com/file/d/1gxlUL-yGdEjmSxcxIXplpjEu17UeI598/view?usp=sharing,sources/district-budget/docs/the-tale-of-our-ten-districts.pdf,sources/district-budget/text/the-tale-of-our-ten-districts.txt,2972031,56c2bc42de70e7ebef9924e88ae0b6b65d30eb7ac072f8bac592b450e83d7ef2,pdf text layer
Superintendent&#39;s Proposed Budget,https://docs.google.com/document/d/1N4rN27vN6JIMB8zc4h0RJ0E5K0Yg6Jfcs3-TqZwdM-Y/edit?usp=sharing,sources/district-budget/docs/superintendent-39-s-proposed-budget.docx,sources/district-budget/text/superintendent-39-s-proposed-budget.txt,51987,1ab844343956088ef8ee6019a2b8786a951db90af17819e9d63c3ed99c0244f3,document
FY19 Final Report,https://drive.google.com/open?id=1iAeGXrjUBda150l6oVg_RAKngZI44SNq,sources/district-budget/docs/fy19-final-report.pdf,sources/district-budget/text/fy19-final-report.txt,604681,c8939d2d6e8a506d21028b926124891f434b5719b492c1d5e0ab948441c48cbb,pdf text layer
FY19 School Dept. Budget Approved 6-20-18,https://drive.google.com/file/d/1n5zdl-5S9e733CLpKMaUPw_bozfoV8Na/view?usp=sharing,sources/district-budget/docs/fy19-school-dept-budget-approved-6-20-18.pdf,sources/district-budget/text/fy19-school-dept-budget-approved-6-20-18.txt,453456,af6e9f3c7cc17e40117ad138547b5e94bbe0ef20dcbbab11fc77b4ff92afa40d,pdf text layer
